table,{,},if,(,),then,else,while,ID,=,;,<,>,<=,>=,==,+,-,*,/,NUM,$,A',A,B,C,D,E,F,G,H,I,J,K,L,M,N
66,,,,,,,,,,,,r21,r21,r21,r21,r21,s43,s44,,,,,,,,,,,,,,,,93,,,
67,,,,,,,,,,,,r25,r25,r25,r25,r25,r25,r25,s46,s47,,,,,,,,,,,,,,,,94,
68,,,,,,,,,,,,r25,r25,r25,r25,r25,r25,r25,s46,s47,,,,,,,,,,,,,,,,95,
69,,,,,,,,,,,,r28,r28,r28,r28,r28,r28,r28,r28,r28,,,,,,,,,,,,,,,,,
70,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,s53,,,,,s51,,,,,,,,,,,,s52,,,,,,,,,,,,,,96,,50
72,,,,s53,,,,,s51,,,,,,,,,,,,s52,,,,,,,,,,,,,,97,,50
73,,,,,r22,,,,,,,,,,,,r22,r22,,,,,,,,,,,,,,,,,,,
74,,,,s53,,,,,s51,,,,,,,,,,,,s52,,,,,,,,,,,,,,,,98
75,,,,s53,,,,,s51,,,,,,,,,,,,s52,,,,,,,,,,,,,,,,99
76,,,,,s100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,r10,r10,r10,,,,,r10,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,r21,,,,,,s57,s58,,,,,,,,,,,,,,,,101,,,
79,,,,,,,,,,,r21,,,,,,s57,s58,,,,,,,,,,,,,,,,102,,,
80,,,,,,,,,,,r25,,,,,,r25,r25,s60,s61,,,,,,,,,,,,,,,,103,
81,,,,,,,,,,,r25,,,,,,r25,r25,s60,s61,,,,,,,,,,,,,,,,104,
82,,,,,,,,,,,r28,,,,,,r28,r28,r28,r28,,,,,,,,,,,,,,,,,
83,,,,,,,s105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,s106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,s107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,s108,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,s13,r8,s10,,,,,s11,s12,,,,,,,,,,,,,,,,5,9,109,6,7,8,,,,,,,
92,,,,,,,,,,,,r19,r19,r19,r19,r19,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,r20,r20,r20,r20,r20,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,r23,r23,r23,r23,r23,r23,r23,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,r24,r24,r24,r24,r24,r24,r24,,,,,,,,,,,,,,,,,,,
96,,,,,r21,,,,,,,,,,,,s71,s72,,,,,,,,,,,,,,,,110,,,
97,,,,,r21,,,,,,,,,,,,s71,s72,,,,,,,,,,,,,,,,111,,,
98,,,,,r25,,,,,,,,,,,,r25,r25,s74,s75,,,,,,,,,,,,,,,,112,
99,,,,,r25,,,,,,,,,,,,r25,r25,s74,s75,,,,,,,,,,,,,,,,113,
100,,,,,r28,,,,,,,,,,,,r28,r28,r28,r28,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,r23,,,,,,r23,r23,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,r24,,,,,,r24,r24,,,,,,,,,,,,,,,,,,,
105,s13,,s10,,,,,s11,s12,,,,,,,,,,,,,,,,114,9,,6,7,8,,,,,,,
106,,,,s26,,,,,s24,,,,,,,,,,,,s25,,,,,,,,,,115,,21,,22,,23
107,,,,s26,,,,,s24,,,,,,,,,,,,s25,,,,,,,,,,116,,21,,22,,23
108,,,,s33,,,,,s31,,,,,,,,,,,,s32,,,,,,,,,,,,117,,29,,30
109,,s118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
